retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
4/30/2023 15:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,78,p2,28,1006,46,2.04,61
4/30/2023 15:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,25,p2,26,1008,78,3.6,110
4/30/2023 15:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,39,p2,28,1007,63,3.09,140
4/30/2023 15:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,37,p2,28,1007,66,3.09,140
4/30/2023 15:17:31,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,57,p2,30,1006,61,2.42,126
4/30/2023 15:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,74,p2,30,1006,54,3.13,151
4/30/2023 15:18:32,TH-16,Ban Mi,Lop Buri,Thailand,78,p2,33,1006,51,3.62,169
4/30/2023 15:19:03,TH-20,Na Kluea,Chon Buri,Thailand,29,p2,30,1006,61,0.48,315
4/30/2023 15:19:34,TH-21,Ban Khai,Rayong,Thailand,34,p2,29,1006,92,2.19,237
4/30/2023 15:20:04,TH-50,Chiang Mai,Chiang Mai,Thailand,97,p2,31,986,39,5.14,160
4/30/2023 15:20:35,TH-52,Hang Chat,Lampang,Thailand,74,p2,34,1005,21,2.92,178
4/30/2023 16:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,78,p2,29,1004,48,3.38,71
4/30/2023 16:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,25,p2,29,1006,65,3.6,110
4/30/2023 16:16:28,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,33,p2,29,1006,58,4.63,130
4/30/2023 16:16:59,TH-13,Khlong Luang,Pathum Thani,Thailand,21,p2,30,1006,62,4.63,130
4/30/2023 16:17:29,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,59,p2,30,1005,58,2.68,119
4/30/2023 16:18:00,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,72,p2,30,1005,52,3.12,136
4/30/2023 16:18:30,TH-16,Ban Mi,Lop Buri,Thailand,64,p2,34,1005,48,3.18,149
4/30/2023 16:19:01,TH-20,Na Kluea,Chon Buri,Thailand,51,p2,30,1005,59,1.99,72
4/30/2023 16:19:32,TH-21,Ban Khai,Rayong,Thailand,38,p2,25,1005,50,0.51,195
4/30/2023 16:20:03,TH-50,Chiang Mai,Chiang Mai,Thailand,88,p2,29,980,44,6.17,180
4/30/2023 16:20:34,TH-52,Hang Chat,Lampang,Thailand,80,p2,33,1003,21,3.52,156
